,global_bore_sync,global_flow_sync,global_frus_sync,fpcn_bore_sync,fpcn_flow_sync,fpcn_frus_sync,sub_bore_sync,sub_flow_sync,sub_frus_sync,fpcn_sub_bore_sync,fpcn_sub_flow_sync,fpcn_sub_frus_sync,global_bore_meta,global_flow_meta,global_frus_meta,fpcn_bore_meta,fpcn_flow_meta,fpcn_frus_meta,sub_bore_meta,sub_flow_meta,sub_frus_meta,fpcn_sub_bore_meta,fpcn_sub_flow_meta,fpcn_sub_frus_meta
sub-016,0.075760589,0.09789479,0.077967796,0.44806574,0.363385563,0.417126285,0.463789642,0.508000658,0.388045409,0.384883458,0.265740212,0.350104336,0.036509476,0.043112688,0.050746227,0.177494918,0.157772306,0.154475688,0.22045838,0.217279439,0.20302715,0.151013021,0.126147552,0.131103488
sub-017,0.096201631,0.133826676,0.107654816,0.293210649,0.492285475,0.426055297,0.430234184,0.41761385,0.339941654,0.244938913,0.333815329,0.326850404,0.040904551,0.049708422,0.052184942,0.129689089,0.194819993,0.168846289,0.208165243,0.206419861,0.179609396,0.120891745,0.140156107,0.117557866
sub-018,0.154768966,0.215066081,0.140438013,0.263154585,0.344345459,0.292046213,0.382505491,0.40881875,0.360542773,0.212523772,0.310420369,0.23841694,0.080924089,0.117234947,0.06888118,0.115616802,0.173627942,0.15277291,0.192468508,0.203901294,0.183886414,0.105544155,0.158614278,0.121999084
sub-019,0.114471133,0.179911203,0.101709942,0.401501523,0.362015116,0.38588693,0.401739332,0.495348821,0.367732619,0.325155788,0.292725843,0.292170721,0.056731969,0.092310709,0.048084328,0.190019392,0.154954883,0.136995533,0.164730536,0.197951294,0.19840647,0.152783509,0.131882855,0.11595895
sub-020,0.079670503,0.097279829,0.130155053,0.305597753,0.353358362,0.406175063,0.413510236,0.45383992,0.482215134,0.233955299,0.263512142,0.311534545,0.039273555,0.047314573,0.061223531,0.145348936,0.157282385,0.189264216,0.173579578,0.21003359,0.200360343,0.120322702,0.116727508,0.145644655
sub-021,0.100126326,0.067873387,0.07608027,0.456862442,0.320732426,0.417706518,0.36077891,0.367209958,0.406134397,0.339943393,0.247907365,0.340668685,0.049068316,0.039457543,0.039885549,0.180153785,0.160061819,0.163978116,0.164077892,0.155730801,0.206071113,0.132293832,0.134206564,0.129978655
sub-022,0.115442961,0.07516327,0.110517412,0.302277959,0.325692292,0.346700672,0.463855453,0.505142777,0.41817119,0.211593068,0.253480403,0.242556478,0.057218017,0.0443905,0.065272443,0.141357584,0.154646012,0.131664519,0.208134248,0.177335069,0.181169399,0.106863472,0.114345013,0.096124801
sub-023,0.103375131,0.095416919,0.079410354,0.324523884,0.367284083,0.350537254,0.52600578,0.375439757,0.476157116,0.253002708,0.275106368,0.263343562,0.047721486,0.04563801,0.042112755,0.131171694,0.154050095,0.15030302,0.217782301,0.170845949,0.199249265,0.121293708,0.116129249,0.117915551
sub-024,0.089694514,0.089894868,0.118853689,0.420706157,0.416561182,0.444787353,0.493417738,0.41897256,0.490837295,0.324581432,0.305468471,0.336799364,0.041001532,0.041695986,0.052598409,0.168823963,0.153428003,0.18881651,0.180688327,0.198469088,0.161048975,0.129008844,0.125459405,0.145629991
sub-025,0.105073647,0.107153028,0.16241279,0.412566334,0.315435792,0.406643975,0.539008298,0.447364112,0.49180516,0.334398243,0.277305363,0.346976855,0.053117936,0.062726403,0.09123666,0.167464082,0.159794053,0.185764917,0.215959746,0.225415623,0.183826575,0.126233935,0.136900958,0.156412428
sub-026,0.09110776,0.104674501,0.090023744,0.342189007,0.348521209,0.415089836,0.421986235,0.387774274,0.354117599,0.250288714,0.281286876,0.30007569,0.046728692,0.054242589,0.049998007,0.145279251,0.154221725,0.165945929,0.174167788,0.217082661,0.158592088,0.112240895,0.130729718,0.123381515
sub-028,0.093405839,0.107181858,0.096995851,0.344525266,0.38734721,0.404205852,0.507984021,0.416257074,0.495125494,0.25245821,0.300740246,0.330474449,0.051516899,0.056329463,0.049985125,0.160524626,0.138954218,0.152529715,0.192032968,0.179193844,0.208599267,0.127506606,0.111804548,0.133250029
sub-029,0.070957037,0.128316798,0.103055883,0.416683136,0.422407897,0.507659046,0.451125494,0.350500188,0.465773056,0.31819848,0.330568066,0.394598057,0.041693576,0.077450382,0.043424048,0.184017604,0.151709713,0.188631732,0.221620182,0.188209473,0.193238768,0.150778388,0.117757909,0.145864473
sub-030,0.067320948,0.086780649,0.094122806,0.44982067,0.372446321,0.362505553,0.461583141,0.347888671,0.45857865,0.308444078,0.278963938,0.260067442,0.034015966,0.046450497,0.043835433,0.179491518,0.173500352,0.150865438,0.205162349,0.163993317,0.206328259,0.130359997,0.109675215,0.122397386
sub-031,0.079766408,0.085473218,0.078659044,0.32864023,0.32130398,0.348357891,0.519822591,0.42581798,0.468240422,0.267553433,0.274389177,0.260617089,0.040665618,0.041827257,0.04511058,0.16149118,0.161524092,0.155001102,0.182158709,0.229798778,0.184074597,0.142777793,0.11487857,0.125014224
sub-032,0.074556042,0.107616204,0.13282159,0.362493995,0.38067154,0.510085998,0.383256441,0.425262048,0.448073594,0.258509812,0.298136059,0.406225593,0.037382969,0.057149184,0.061260887,0.180703807,0.19745121,0.182090168,0.203618723,0.195864694,0.205242138,0.139672724,0.162436552,0.143073906
sub-033,0.078214393,0.105831668,0.095118479,0.416243268,0.325641859,0.421779187,0.459396137,0.468815761,0.492316351,0.309133549,0.226489779,0.312581208,0.046319461,0.053132883,0.048398993,0.160998781,0.175250946,0.186998494,0.23647545,0.167345053,0.224066249,0.134334671,0.12047755,0.137969182
sub-034,0.081576633,0.113493743,0.099321948,0.383481098,0.308086866,0.455023773,0.442749203,0.400848672,0.447369926,0.301080934,0.248905536,0.394702778,0.041939272,0.052829285,0.048835082,0.188170991,0.17666939,0.169101272,0.209020939,0.180499088,0.199674978,0.147234571,0.125520275,0.147618383
sub-035,0.108471354,0.113724591,0.108808976,0.331460604,0.27186186,0.323388344,0.398542958,0.434744761,0.413484975,0.243165092,0.220857122,0.280004716,0.046885325,0.051575029,0.050047393,0.154978202,0.118831768,0.132357032,0.205469011,0.195453977,0.171402638,0.115525477,0.112604974,0.121907819
sub-036,0.114848736,0.119722471,0.127114368,0.39815375,0.364170072,0.377447568,0.372457657,0.518819378,0.428356682,0.332915458,0.321899508,0.317710218,0.061049223,0.065402647,0.048806674,0.181416328,0.154183122,0.1501701,0.225042345,0.236701496,0.198741016,0.186954628,0.148827809,0.130075051
sub-037,0.098486052,0.099833249,0.105621893,0.367179039,0.339275228,0.430019905,0.508244091,0.409279957,0.418860696,0.328933959,0.26009234,0.321336555,0.051228719,0.044401163,0.051193212,0.166551571,0.158064095,0.16676109,0.189489099,0.209967435,0.181811654,0.144150889,0.124097023,0.132756718
sub-039,0.103632002,0.159506147,0.178420766,0.413178501,0.282717832,0.40842386,0.515483551,0.466168379,0.389012175,0.30342128,0.199619508,0.331638973,0.054505196,0.077121644,0.092218576,0.187617717,0.138606156,0.179010889,0.244363334,0.19163104,0.167707149,0.149024474,0.111060679,0.149198026
sub-040,0.103501524,0.095863198,0.086850343,0.57397165,0.432578904,0.407570453,0.419891041,0.498655011,0.342422255,0.448706195,0.319671968,0.320253797,0.052056205,0.051159646,0.04260169,0.180835579,0.16483682,0.219714812,0.206187416,0.223411922,0.149689609,0.140292131,0.133370391,0.177269224
sub-041,0.095546007,0.078808184,0.07125525,0.51486907,0.365347666,0.36489592,0.473066373,0.42292644,0.380958868,0.381474301,0.291161204,0.254438959,0.052330475,0.049015342,0.034789142,0.177907029,0.163965531,0.172981948,0.180204811,0.212755276,0.210181022,0.156867449,0.13748055,0.129239819
sub-042,0.095249717,0.119534031,0.148196303,0.353131187,0.378383485,0.297735448,0.441909764,0.406444068,0.422176779,0.291894431,0.297827068,0.228221772,0.044168273,0.068098673,0.073439322,0.146612734,0.139848057,0.147153681,0.202769564,0.178441864,0.208867299,0.132789801,0.116126603,0.12220225
