x y z radius(mm) netWorkbenchLabel netName integrativePercent
51 -45 22 5 7 VentralAttention 0
-26 -71 33 5 5 DorsalAttention 0
-35 -30 -24 5 5 DorsalAttention 0
44 -48 -15 5 5 DorsalAttention 0
9 -41 48 5 5 DorsalAttention 0
-50 -63 3 5 5 DorsalAttention 0
-40 -60 -10 5 5 DorsalAttention 0
-32 -48 44 5 5 DorsalAttention 0
-32 -5 53 5 5 DorsalAttention 0
-17 -60 60 5 5 DorsalAttention 0
8 -63 57 5 5 DorsalAttention 0
20 -66 45 5 5 DorsalAttention 0
23 -60 57 5 5 DorsalAttention 0
26 -9 54 5 5 DorsalAttention 0
44 -60 4 5 5 DorsalAttention 0
-29 -12 -33 5 17 MedialTemporalLobe 0
32 -15 -30 5 17 MedialTemporalLobe 0
-24 -14 -19 4 17 MedialTemporalLobe 0
24 -14 -19 4 17 MedialTemporalLobe 0
-24 -40 -2 4 1 DefaultMode 0
24 -39 -1 4 1 DefaultMode 0
-29 15 -15 5 4 Reward 0
-20 36 -15 5 4 Reward 0
23 27 -12 5 4 Reward 0
26 12 -12 5 4 Reward 0
-19 -5 -19 4 4 Reward 0
19 -5 -19 4 4 Reward 0
12 13 -1 4 4 Reward 0
-12 13 -1 4 4 Reward 0
11 13 10 4 8 Salience 51.1
-13 13 10 4 8 Salience 72.4
13 -5 20 4 3 FrontoParietal 28.2
-15 -5 20 4 3 FrontoParietal 74.1
27 -11 10 4 10 SomatomotorDorsal 14.8
-27 -13 10 4 10 SomatomotorDorsal 15.8
27 -10 -2 4 11 SomatomotorLateral 61.1
-27 -13 -2 4 11 SomatomotorLateral 11.1
24 -2 2 4 7 VentralAttetion 63
-27 -4 -1 4 7 VentralAttention 70.1
24 1 10 4 9 CinguloOpercular 11.1
-24 4 10 4 9 CinguloOpercular 22.2
18 -8 -1 4 9 CinguloOpercular 22.2
-18 -8 -1 4 9 CinguloOpercular 55.6
3 -11 10 4 1 DefaultMode 86.2
-3 -13 10 4 1 DefaultMode 54.3
18 -31 2 4 2 Visual 25.6
-18 -31 2 4 2 Visual 55.6
12 -17 13 4 9 CinguloOpercular 62.2
-15 -17 13 4 9 CinguloOpercular 63
9 -11 4 4 9 CinguloOpercular 54.3
-9 -13 2 4 9 CinguloOpercular 37
13 -22 2 4 11 SomatomotorLateral 35.1
-13 -22 2 4 11 SomatomotorLateral 32.3
15 -25 10 4 10 SomatomotorDorsal 37.1
-18 -25 10 4 10 SomatomotorDorsal 48.1
31.69 -49.51 -47.73 4 9 CinguloOpercular 14.3
-11.25 -51.91 -47.89 4 5 DorsalAttention 49.3
14.53 -48.36 -49 4 5 DorsalAttention 40
-29.53 -76.64 -38.36 4 1 DefaultMode 10
31.53 -80.15 -37.19 4 1 DefaultMode 15
-22.12 -74.98 -28.62 4 1 DefaultMode 34.3
