sub,condition,file
sub-022,frustration,sub-022_task-game_run-02_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-023,frustration,sub-023_task-game_run-01_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-024,frustration,sub-024_task-game_run-01_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-025,frustration,sub-025_task-game_run-03_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-026,frustration,sub-026_task-game_run-03_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-028,frustration,sub-028_task-game_run-02_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-029,frustration,sub-029_task-game_run-01_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-030,frustration,sub-030_task-game_run-03_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-031,frustration,sub-031_task-game_run-01_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-032,frustration,sub-032_task-game_run-01_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-033,frustration,sub-033_task-game_run-01_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-034,frustration,sub-034_task-game_run-02_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-035,frustration,sub-035_task-game_run-03_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-036,frustration,sub-036_task-game_run-02_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-037,frustration,sub-037_task-game_run-03_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-039,frustration,sub-039_task-game_run-02_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-040,frustration,sub-040_task-game_run-01_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-041,frustration,sub-041_task-game_run-02_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
sub-042,frustration,sub-042_task-game_run-03_bold_space-MNI152NLin2009aAsym_preproc_merged.nii.gz
